listing_id,description,room_type,host_name,last_review,price,nbhood_full,last_review_year,review_month
18970683,Bushwick Cozy Room,Private Room,Lakisha,2019-07-01,50,"Brooklyn, Bushwick",2019,July
18971993,Sunny Bedroom Steps to Subway & Central Park,Private Room,Mante,2019-06-25,79,"Manhattan, East Harlem",2019,June
18975097,Quiet and hip Astoria house (15 min. to Manhattan),Private Room,Joseph,2019-05-21,50,"Queens, Ditmars Steinway",2019,May
18979981,"Spacious studio in the West Village, NYC",Entire Home/Apt,Neelu,2019-05-26,176,"Manhattan, West Village",2019,May
18984088,Large Clean Safe Private Bedroom by Lehman College,Private Room,David,2019-07-02,60,"Bronx, Kingsbridge",2019,July
18985595,"BROOKLYN NOOK
Your home away from home",Entire Home/Apt,Ayinde,2019-06-23,95,"Brooklyn, East New York",2019,June
18992110,Charming Nolita Apartment,Entire Home/Apt,Constanze,2019-02-18,170,"Manhattan, Lower East Side",2019,February
18992796,ROOM 10,Private Room,Justine,2019-06-16,40,"Bronx, University Heights",2019,June
18993091,Brooklyn Spacious Hip + Cosy Room in 2 bedroom,Private Room,Kate + Max,2019-06-06,42,"Brooklyn, Bensonhurst",2019,June
18993398,Gorgeous Comfy Apartment,Entire Home/Apt,Philip,2019-07-06,165,"Queens, Jamaica",2019,July
18994394,Quiet Room With a View in South Slope,Entire Home/Apt,Phaedra,2019-07-01,128,"Brooklyn, Sunset Park",2019,July
18994641,"Rockaway Chic Houseboat Escape, Serene & Airy!",Entire Home/Apt,Natasha,2019-06-23,250,"Queens, Arverne",2019,June
18994965,Thee Bohemian BNB Astoria,Private Room,Matt,2019-06-16,60,"Queens, Astoria",2019,June
18997371,Cozy Getaway,Entire Home/Apt,Sueann,2019-07-01,85,"Staten Island, Tottenville",2019,July
18997559,Heart of Brooklyn,Private Room,Miranda,2019-04-21,65,"Brooklyn, Bushwick",2019,April
18998595,Park Slope garden oasis,Entire Home/Apt,Karli,2019-06-09,225,"Brooklyn, South Slope",2019,June
18999626,World Pride dream stay,Private Room,Frankie And J,2019-06-10,200,"Manhattan, Hell's Kitchen",2019,June
18999839,Spacious private room with private bathroom,Private Room,FuKang,2019-06-30,55,"Queens, Fresh Meadows",2019,June
19000161,Super Chill Studio,Entire Home/Apt,Xavier,2019-01-01,180,"Brooklyn, Williamsburg",2019,January
19001879,SPRING FORWARD GREENPOINT STUDIO W/YARD,Entire Home/Apt,Evelyn,2019-05-17,115,"Brooklyn, Greenpoint",2019,May
19011068,COZY GEM,Private Room,Monique,2019-06-23,99,"Manhattan, Harlem",2019,June
